export_url,redirect_status,destination,http_status,canonical,meta_robots,x_robots_tag,in_current_sitemap,clicks_from_home
https://teamtoner.co.nz/listings/52-tennyson-avenue-kelvin-grove,308,https://www.teamtoner.co.nz/listings/52-tennyson-avenue-kelvin-grove,200,https://www.teamtoner.co.nz/listings/52-tennyson-avenue-kelvin-grove,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/58-bryant-street-takaro,308,https://www.teamtoner.co.nz/listings/58-bryant-street-takaro,200,https://www.teamtoner.co.nz/listings/58-bryant-street-takaro,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/6-dundas-road-sanson,308,https://www.teamtoner.co.nz/listings/6-dundas-road-sanson,200,https://www.teamtoner.co.nz/listings/6-dundas-road-sanson,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/61-apollo-parade-milson,308,https://www.teamtoner.co.nz/listings/61-apollo-parade-milson,200,https://www.teamtoner.co.nz/listings/61-apollo-parade-milson,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/65-park-road-west-end,308,https://www.teamtoner.co.nz/listings/65-park-road-west-end,200,https://www.teamtoner.co.nz/listings/65-park-road-west-end,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/66-salisbury-street-ashhurst,308,https://www.teamtoner.co.nz/listings/66-salisbury-street-ashhurst,200,https://www.teamtoner.co.nz/listings/66-salisbury-street-ashhurst,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/68-seddon-street-takaro,308,https://www.teamtoner.co.nz/listings/68-seddon-street-takaro,200,https://www.teamtoner.co.nz/listings/68-seddon-street-takaro,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/7-brodie-lane-feilding,308,https://www.teamtoner.co.nz/listings/7-brodie-lane-feilding,200,https://www.teamtoner.co.nz/listings/7-brodie-lane-feilding,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/7-diamond-court-ashhurst,308,https://www.teamtoner.co.nz/listings/7-diamond-court-ashhurst,200,https://www.teamtoner.co.nz/listings/7-diamond-court-ashhurst,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/7-hill-court-awapuni,308,https://www.teamtoner.co.nz/listings/7-hill-court-awapuni,200,https://www.teamtoner.co.nz/listings/7-hill-court-awapuni,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/71-ruapehu-drive-fitzherbert,308,https://www.teamtoner.co.nz/listings/71-ruapehu-drive-fitzherbert,200,https://www.teamtoner.co.nz/listings/71-ruapehu-drive-fitzherbert,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/77-sedcole-street-pahiatua,308,https://www.teamtoner.co.nz/listings/77-sedcole-street-pahiatua,200,https://www.teamtoner.co.nz/listings/77-sedcole-street-pahiatua,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/79-worcester-street-ashhurst,308,https://www.teamtoner.co.nz/listings/79-worcester-street-ashhurst,200,https://www.teamtoner.co.nz/listings/79-worcester-street-ashhurst,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/7a-wigan-place-hokowhitu,308,https://www.teamtoner.co.nz/listings/7a-wigan-place-hokowhitu,200,https://www.teamtoner.co.nz/listings/7a-wigan-place-hokowhitu,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/8-fountain-court-hokowhitu,308,https://www.teamtoner.co.nz/listings/8-fountain-court-hokowhitu,200,https://www.teamtoner.co.nz/listings/8-fountain-court-hokowhitu,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/8-pascal-street-city-centre,308,https://www.teamtoner.co.nz/listings/8-pascal-street-city-centre,200,https://www.teamtoner.co.nz/listings/8-pascal-street-city-centre,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/9-cousins-avenue-east-foxton-beach,308,https://www.teamtoner.co.nz/listings/9-cousins-avenue-east-foxton-beach,200,https://www.teamtoner.co.nz/listings/9-cousins-avenue-east-foxton-beach,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/9-hewitts-road-linton,308,https://www.teamtoner.co.nz/listings/9-hewitts-road-linton,200,https://www.teamtoner.co.nz/listings/9-hewitts-road-linton,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/9-ongley-street-feilding,308,https://www.teamtoner.co.nz/listings/9-ongley-street-feilding,200,https://www.teamtoner.co.nz/listings/9-ongley-street-feilding,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/90-tane-road-tokomaru,308,https://www.teamtoner.co.nz/listings/90-tane-road-tokomaru,200,https://www.teamtoner.co.nz/listings/90-tane-road-tokomaru,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/privacy,308,https://www.teamtoner.co.nz/privacy,200,https://www.teamtoner.co.nz/privacy,"index, follow | index, follow, max-image-preview:large",,True,1
https://teamtoner.co.nz/resources,308,https://www.teamtoner.co.nz/resources,200,https://www.teamtoner.co.nz/resources,"index, follow | index, follow, max-image-preview:large",,True,1
https://teamtoner.co.nz/resources/methods-of-sale,308,https://www.teamtoner.co.nz/resources/methods-of-sale,200,https://www.teamtoner.co.nz/resources/methods-of-sale,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/resources/seller-success-guide,308,https://www.teamtoner.co.nz/resources/seller-success-guide,200,https://www.teamtoner.co.nz/resources/seller-success-guide,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/sell,308,https://www.teamtoner.co.nz/sell,200,https://www.teamtoner.co.nz/sell,"index, follow | index, follow, max-image-preview:large",,True,1
https://teamtoner.co.nz/sold,308,https://www.teamtoner.co.nz/sold,200,https://www.teamtoner.co.nz/sold,"index, follow | index, follow, max-image-preview:large",,True,1
https://teamtoner.co.nz/suburbs,308,https://www.teamtoner.co.nz/suburbs,200,https://www.teamtoner.co.nz/suburbs,"index, follow | index, follow, max-image-preview:large",,True,1
https://teamtoner.co.nz/suburbs/ashhurst,308,https://www.teamtoner.co.nz/suburbs/ashhurst,200,https://www.teamtoner.co.nz/suburbs/ashhurst,"index, follow | index, follow, max-image-preview:large",,True,1
https://teamtoner.co.nz/suburbs/awapuni,308,https://www.teamtoner.co.nz/suburbs/awapuni,200,https://www.teamtoner.co.nz/suburbs/awapuni,"index, follow | index, follow, max-image-preview:large",,True,1
https://teamtoner.co.nz/suburbs/bunnythorpe,308,https://www.teamtoner.co.nz/suburbs/bunnythorpe,200,https://www.teamtoner.co.nz/suburbs/bunnythorpe,"index, follow | index, follow, max-image-preview:large",,True,1
https://teamtoner.co.nz/suburbs/feilding,308,https://www.teamtoner.co.nz/suburbs/feilding,200,https://www.teamtoner.co.nz/suburbs/feilding,"index, follow | index, follow, max-image-preview:large",,True,1
https://teamtoner.co.nz/suburbs/foxton-beach,308,https://www.teamtoner.co.nz/suburbs/foxton-beach,200,https://www.teamtoner.co.nz/suburbs/foxton-beach,"index, follow | index, follow, max-image-preview:large",,True,1
https://teamtoner.co.nz/suburbs/halcombe,308,https://www.teamtoner.co.nz/suburbs/halcombe,200,https://www.teamtoner.co.nz/suburbs/halcombe,"index, follow | index, follow, max-image-preview:large",,True,1
https://teamtoner.co.nz/suburbs/highbury,308,https://www.teamtoner.co.nz/suburbs/highbury,200,https://www.teamtoner.co.nz/suburbs/highbury,"index, follow | index, follow, max-image-preview:large",,True,1
https://teamtoner.co.nz/suburbs/hokowhitu,308,https://www.teamtoner.co.nz/suburbs/hokowhitu,200,https://www.teamtoner.co.nz/suburbs/hokowhitu,"index, follow | index, follow, max-image-preview:large",,True,1
